KR101669321B1,"Ancillary service capability data is received in real time from participating electrical vehicles (EVs) connected through EV charging equipment to a power grid. Aggregate offers based on the ancillary service capability data from participating EVs are generated and matched with requests received from electrical power generating entities for ancillary service electrical power. Associated with the matches,  ancillary power is transferred from batteries of one or more EV batteries to the power grid and,  based on received transaction parameters,  transaction payment is made."
CN103221969B,"Ancillary service capability data is received in real time from participating electrical vehicles (EVs) connected through EV charging equipment to a power grid. Aggregate offers based on the ancillary service capability data from participating EVs are generated and matched with requests received from electrical power generating entities for ancillary service electrical power. Associated with the matches,  ancillary power is transferred from batteries of one or more EV batteries to the power grid and,  based on received transaction parameters,  transaction payment is made."
IN783MUMNP2013A,Ancillary service capability data is received in real time from participating electrical vehicles (EVs) connected through EV charging equipment to a power grid. Aggregate offers based on the ancillary service capability data from participating EVs are generated and matched with requests received from electrical power generating entities for ancillary service electrical power. Associated with the matches ancillary power is transferred from batteries of one or more EV batteries to the power grid and based on received transaction parameters transaction payment is made.
JP2014107927A,"PROBLEM TO BE SOLVED :  To estimate a consumption energy for a route interval on which an object EV will run.
SOLUTION :  A consumption energy estimation apparatus includes consumption energy related data for an object EV and other EVs,  route information on the route intervals and an EV consumption energy estimation portion,  with respect to a plurality of route intervals. The EV consumption energy estimation portion calculates a first similarity between a second route interval and a first route interval on the basis of differences between data on consumption energy of the object EV in a first route interval on which the object EV has run and data on consumption energy of other EVs having run on a second route interval on which the object EV will run and differences between route information on the second and first route intervals,  selects a route interval from the first route interval on the basis of the first similarity and estimates a consumption energy of the object EV in the second route interval by using the consumption energy related data on the selected route interval and the second route interval and the route information.
COPYRIGHT :  (C)2014, JPO&INPIT"
JP6018489B2,"PROBLEM TO BE SOLVED :  To estimate a consumption energy for a route interval on which an object EV will run.SOLUTION :  A consumption energy estimation apparatus includes consumption energy related data for an object EV and other EVs,  route information on the route intervals and an EV consumption energy estimation portion,  with respect to a plurality of route intervals. The EV consumption energy estimation portion calculates a first similarity between a second route interval and a first route interval on the basis of differences between data on consumption energy of the object EV in a first route interval on which the object EV has run and data on consumption energy of other EVs having run on a second route interval on which the object EV will run and differences between route information on the second and first route intervals,  selects a route interval from the first route interval on the basis of the first similarity and estimates a consumption energy of the object EV in the second route interval by using the consumption energy related data on the selected route interval and the second route interval and the route information."
EP2678185B1,"A method establishes an IP-based communications connection between an electric vehicle and a charge control unit associated with a charging station assigned an IP address. The electric vehicle is connected to the charging station via a charging cable and/or an inductive charge coupling for charging and/or discharging. A first communication connection that can be used exclusively by the electric vehicle and the charging station is provided via the charging cable and/or the inductive charging coupling. The electric vehicle having the charging control unit and the charging infrastructure can communicate via a second communications connection that can be used in parallel by other electric vehicles and charge control units. An identification is provided to the electric vehicle and the charging control unit. An IP-based communication is established between the electric vehicle and the charging control unit,  using the IP address."
US20150032516A1,"A system,  method and program product for managing charging station usage. After receiving a request for charging capacity in electric vehicle (EV) charging spaces,  e.g.,  located in commercial parking lots,  if it can be fulfilled the request is accepted. Each accepted request is matched with available EV charging spaces. A scheduling unit schedules charging for each request to a matched EV charging space when a charging price is predetermined. Otherwise,  if a charging price is not previously determined,  a pricing unit sets a permit price and schedules charging for the match."
WO2014110708A1,"The present invention discloses a coordinated control method for a distribution network with DER and EV and coordinated control system thereof. The method acquiring information from at least one DER controller,  at least one EV controller and/or at least one load controller; calculating P/Q references and/or circuit breaker control commands for the DER,  the EV and the load based on active/reactive power balance,  voltage and/or frequency requirement; a!locating the references and/or the control commands to the DER,  the EV and the load based on their locations and available capacity;  and outputting the allocated references and/or control commands to the DER,  the EV and the load. The solutions of the present invention minimize negative impacts from DER and EVs and maintain a controllable voltage and frequency stabilization."
US20150183333A1,"Systems and methods for electric vehicle (EV) charging and graphic user interface for consumers,  including consumer profiles and EV point of sale terminal profiles. Novel methods for consumer guidance and controls are provided coupled with graphic user interfaces for mobile applications,  websites,  and electric vehicle point of sale terminals."
CN104951614A,"The invention discloses an EV-charging-controllability considered unit combination model and a modeling method. According to the EV-charging-controllability considered unit combination model and the modeling method,  the output of a unit and total loads of an EV integrated controller serve as control objects,  the EV integrated controller serves as an interaction platform of a power grid dispatching center and EVs,  the dispatching center issues a charging command to the EV integrated controller,  and the EV integrated controller controls the EVs in an administration region of the EV integrated controller after receiving the charging command to meet the command;  constraints such as user charging requirement constraints,  dispatching capacity range constraints and unit-side constraints are comprehensively considered,  the minimum sum of the running cost of the unit and the dispatching cost of the EVs serves as an objective function,  and the EV-charging-controllability considered unit combination model is built;  the dispatching cost of the EVs is considered in the objective function of the model,  the user charging requirement constraints are considered in the constraint conditions,  the requirement of users for the electric quantity of the EVs serves as one condition which must be met when the dispatching center controls the EVs to be charged,  and the vehicle attributes of the EVs are sufficiently considered."
