,F01(transportation),F02(reduce emission),F03(cost efficiency)
Patent1,22.1111,23.5851,20.637
Patent2,22.1111,23.5851,20.637
Patent3,22.1111,23.5851,20.637
Patent4,15.0086,22.5129,22.5129
Patent5,18.344,23.8472,19.261200000000002
Patent6,0.0,0.0,0.0
Patent7,17.3351,23.9389,18.986
Patent8,36.3602,13.758,31.446699999999996
Patent9,24.014000000000006,10.5062,24.014000000000006
Patent10,7.1337,9.171899999999999,8.1528
Patent11,24.541000000000004,15.616999999999999,24.5411
Patent12,16.777899999999995,10.066699999999997,18.791299999999996
Patent13,6.8790000000000004,8.8444,7.861700000000001
Patent14,17.944999999999993,6.819100000000001,12.5615
Patent15,13.7579,9.5247,9.5247
Patent16,36.3602,13.758,31.446699999999996
Patent17,36.3602,13.758,31.446699999999996
Patent18,35.932300000000005,13.596,31.076600000000003
Patent19,35.932300000000005,13.596,31.076600000000003
Patent20,44.9426,23.847,33.019
Patent21,7.046799999999999,9.0602,8.0535
Patent22,9.807599999999999,12.2595,7.3557000000000015
Patent23,36.688,19.872700000000002,19.872700000000002
Patent24,13.422299999999996,8.0534,12.080099999999998
Patent25,36.3602,13.758,31.446699999999996
Patent26,13.5837,9.4041,9.4041
Patent27,27.515800000000002,15.552399999999999,27.515800000000006
Patent28,15.946600000000002,20.636799999999994,24.388899999999996
Patent29,26.06800000000001,24.981600000000004,26.067900000000005
Patent30,19.335700000000003,11.898900000000003,18.592000000000002
Patent31,15.7962,16.3058,18.343900000000005
Patent32,8.6893,10.861699999999999,8.6893
Patent33,34.891099999999994,17.019999999999996,22.9771
Patent34,21.723,10.1374,23.1712
Patent35,28.4984,8.8443,18.671300000000002
Patent36,20.6369,17.9451,18.8424
Patent37,26.122599999999995,16.7184,26.122599999999995
Patent38,13.7579,9.5247,9.5247
Patent39,20.2748,10.1374,23.1712
Patent40,10.418399999999998,12.021299999999997,10.418399999999998
