,0
ev,23.826176292628737
vehicl,17.86311499555588
electr,11.066354528328178
lower,8.23119964574271
reduc,8.156098118071768
gasolin,8.122374643627218
requir,7.2549519990278295
mainten,6.721658939556759
oper,6.721658939556759
fuel,6.646557411885817
charg,6.646557411885817
cost,6.004439350299255
make,6.004439350299255
tradit,5.929337822628312
expens,5.854236294957369
effici,5.245841707815357
save,5.212118233370808
significantli,5.212118233370808
system,5.137016705699866
consum,5.137016705699866
fewer,4.4197971164423615
long,4.4197971164423615
exhaust,4.4197971164423615
addit,4.4197971164423615
substanti,4.4197971164423615
oil,4.4197971164423615
less,4.344695588771419
repair,3.7025775271848573
use,3.7025775271848573
much,3.7025775271848573
part,3.7025775271848573
factor,3.7025775271848573
move,3.7025775271848573
costeffect,3.7025775271848573
option,3.7025775271848573
chang,3.7025775271848573
translat,3.6274759995139148
gener,3.6274759995139148
driver,3.6274759995139148
incent,3.0941829400428444
energi,3.019081412371902
busi,3.019081412371902
advantag,2.943979884700959
advanc,2.943979884700959
afford,2.943979884700959
own,2.9102564102564106
term,2.9102564102564106
primarili,2.9102564102564106
daili,2.9102564102564106
tuneup,2.9102564102564106
mani,2.9102564102564106
combin,2.9102564102564106
offer,2.3018618231143977
govern,2.3018618231143977
renew,2.3018618231143977
batteri,2.3018618231143977
environment,2.3018618231143977
technolog,2.3018618231143977
transport,2.226760295443455
enhanc,2.226760295443455
benefit,2.226760295443455
even,2.226760295443455
fleet,2.226760295443455
expect,1.5846422338568937
increasingli,1.5846422338568937
broader,1.509540706185951
diesel,1.509540706185951
van,1.509540706185951
f,1.509540706185951
rang,1.509540706185951
upfront,1.509540706185951
choic,1.509540706185951
gap,1.509540706185951
compar,1.509540706185951
run,1.509540706185951
intern,1.509540706185951
continu,1.509540706185951
ownership,1.509540706185951
buyer,1.509540706185951
total,1.509540706185951
sourc,1.509540706185951
truck,1.509540706185951
lifespan,1.509540706185951
sustain,1.509540706185951
econom,1.509540706185951
solar,1.509540706185951
compani,1.509540706185951
refuel,1.509540706185951
adopt,1.509540706185951
engin,1.509540706185951
home,1.509540706185951
combust,1.509540706185951
cheaper,1.509540706185951
commerci,1.509540706185951
purchas,1.509540706185951
tax,1.509540706185951
public,1.4344391785150081
infrastructur,1.4344391785150081
longterm,1.4344391785150081
version,1.4344391785150081
