,0
batteri,28.772670638154565
electr,22.96486570320357
energi,19.04854373513898
cell,13.638322438031182
termin,12.296060533269277
devic,10.078410429749608
posit,8.113220348192122
neg,8.113220348192122
use,7.846702131179557
convert,7.490292171396543
chemic,6.244435817805384
current,5.964359859287918
make,5.5938917044545216
cathod,5.525102089839058
anod,5.525102089839058
electrochem,5.525102089839058
stabl,5.369047619047619
power,5.1486205801508484
assembl,4.9021739130434785
within,4.9021739130434785
either,4.9021739130434785
store,4.9021739130434785
defin,4.9021739130434785
vehicl,4.773234925261838
gener,4.7185035056967575
extern,4.55330833991055
contain,4.026785714285714
capac,3.417415278995034
perform,3.3762416009348524
refer,3.307451986319389
specif,3.279836049764108
suppli,2.6569078729685276
charg,2.588118258353065
electrod,2.588118258353065
discharg,2.588118258353065
sourc,2.588118258353065
electron,2.4917127071823204
technolog,2.0339796961729477
fuel,2.006363759617666
much,2.006363759617666
reach,2.006363759617666
composit,1.9651900815574848
recharg,1.9375741450022033
common,1.9375741450022033
averag,1.383435582822086
ev,1.383435582822086
lithium,1.383435582822086
lfp,1.383435582822086
car,1.383435582822086
cobalt,1.383435582822086
linmc,1.383435582822086
bev,1.383435582822086
kwh,1.383435582822086
evb,1.383435582822086
forc,1.3422619047619047
reliabl,1.3422619047619047
solar,1.3422619047619047
mainli,1.3422619047619047
longterm,1.3422619047619047
resist,1.3422619047619047
affect,1.3422619047619047
cup,1.3422619047619047
climat,1.3422619047619047
paramet,1.3422619047619047
great,1.3422619047619047
metal,1.3422619047619047
advanc,1.3422619047619047
temperatur,1.3422619047619047
structur,1.3422619047619047
oper,1.3422619047619047
scienc,1.3422619047619047
social,1.3422619047619047
littl,1.3422619047619047
tank,1.3422619047619047
aspect,1.3422619047619047
simpl,1.3422619047619047
part,1.3422619047619047
electrolyt,1.3422619047619047
solut,1.3422619047619047
pole,1.3422619047619047
role,1.3422619047619047
voltag,1.3422619047619047
influenc,1.3422619047619047
small,1.3422619047619047
electromot,1.3422619047619047
carri,1.3422619047619047
life,1.3422619047619047
modern,1.3422619047619047
play,1.3422619047619047
higher,1.314645968206623
combust,1.314645968206623
motor,1.314645968206623
time,1.314645968206623
lithiumion,1.314645968206623
lower,1.314645968206623
compar,1.314645968206623
materi,1.314645968206623
mani,1.314645968206623
per,1.314645968206623
exampl,1.2458563535911602
