,0
charg,57.73773351260069
batteri,15.988379737932508
electr,14.666757790911655
charger,10.783037475345166
electron,9.157453936348409
technolog,8.989664082687337
vehicl,8.685702490711435
current,8.379144241919656
energi,7.401464764613243
type,7.01811420910494
fast,6.421188630490955
neg,5.827470686767168
power,5.136950904392765
posit,4.9949748743718585
proton,4.9949748743718585
voltag,4.901380670611439
unit,4.1624790619765495
compar,3.8527131782945734
constant,3.6255438930351955
car,3.5487515863186703
time,3.5487515863186703
object,3.3299832495812396
coulomb,3.3299832495812396
atom,3.3299832495812396
trickl,2.9408284023668636
not,2.9408284023668636
can,2.9408284023668636
highrat,2.9408284023668636
toler,2.9408284023668636
rel,2.6452677589129077
commerci,2.5684754521963824
present,2.5684754521963824
futur,2.5684754521963824
place,2.5684754521963824
speed,2.5684754521963824
dc,2.5684754521963824
replac,2.5684754521963824
suitabl,2.5684754521963824
servic,2.5684754521963824
fuel,2.5684754521963824
station,2.5684754521963824
chang,2.5684754521963824
ac,2.5684754521963824
brand,2.5684754521963824
fundament,2.4974874371859292
nuclei,2.4974874371859292
natur,2.4974874371859292
excess,2.4974874371859292
equal,2.4974874371859292
slow,2.264513860220479
take,2.264513860220479
fulli,2.264513860220479
hour,2.264513860220479
provid,2.264513860220479
public,2.264513860220479
gener,2.1167335384935013
much,1.9605522682445757
recharg,1.9605522682445757
capac,1.9605522682445757
sourc,1.9605522682445757
damag,1.9605522682445757
overcharg,1.9605522682445757
complet,1.9605522682445757
long,1.9605522682445757
reduc,1.9605522682445757
cut,1.9605522682445757
circuit,1.8127719465175978
amount,1.8127719465175978
wire,1.8127719465175978
neutral,1.6649916247906198
metal,1.6649916247906198
experi,1.6649916247906198
reaction,1.6649916247906198
consist,1.6649916247906198
faraday,1.6649916247906198
system,1.6649916247906198
net,1.6649916247906198
amper,1.6649916247906198
surfac,1.6649916247906198
weilai,1.2842377260981912
includ,1.2842377260981912
mechan,1.2842377260981912
automat,1.2842377260981912
privat,1.2842377260981912
achiev,1.2842377260981912
equip,1.2842377260981912
expect,1.2842377260981912
home,1.2842377260981912
matur,1.2842377260981912
refuel,1.2842377260981912
semiautomat,1.2842377260981912
emerg,1.2842377260981912
familiar,1.2842377260981912
effici,1.2842377260981912
exchang,1.2842377260981912
quickli,1.2842377260981912
owner,1.2842377260981912
intellig,1.2842377260981912
total,1.2842377260981912
guarante,1.2842377260981912
