,T01(electric battery),T02(electric motor),T03(battery charger),F01(transportation),F02(reduce emission),F03(cost efficiency)
Patent1,29.4814,17.6887,28.0073,22.1111,23.5851,20.637
Patent2,29.4814,17.6887,28.0073,22.1111,23.5851,20.637
Patent3,29.4814,17.6887,28.0073,22.1111,23.5851,20.637
Patent4,15.0086,7.5043,15.0086,15.0086,22.5129,22.5129
Patent5,17.4268,12.8408,12.8408,18.344,23.8472,19.2612
Patent6,0.0,0.0,0.0,0.0,0.0,0.0
Patent7,16.5096,12.3823,13.2077,17.3351,23.9389,18.986
Patent8,31.446699999999996,16.706,37.3429,36.3602,13.758,31.446699999999996
Patent9,22.513100000000005,4.5027,25.514900000000008,24.014000000000006,10.5062,24.014000000000006
Patent10,15.2865,13.2484,9.1719,7.1337,9.1719,8.1528
Patent11,20.079,13.386,17.848,24.541000000000004,15.617,24.5411
Patent12,14.093399999999995,9.395599999999998,12.080099999999996,16.777899999999995,10.066699999999996,18.791299999999996
Patent13,14.7406,11.7925,8.8443,6.879,8.8444,7.861700000000001
Patent14,14.356000000000003,10.049200000000004,16.868299999999998,17.944999999999993,6.819100000000001,12.5615
Patent15,23.2826,16.932799999999997,17.991099999999996,13.7579,9.5247,9.5247
Patent16,31.446699999999996,16.706,37.3429,36.3602,13.758,31.446699999999996
Patent17,31.446699999999996,16.706,37.3429,36.3602,13.758,31.446699999999996
Patent18,31.076600000000003,16.5094,36.90350000000001,35.932300000000005,13.596,31.076600000000003
Patent19,31.076600000000003,16.5094,36.90350000000001,35.932300000000005,13.596,31.076600000000003
Patent20,32.1018,14.6751,45.8598,44.9426,23.847,33.019
Patent21,15.1003,13.086900000000002,9.060300000000002,7.046799999999999,9.0602,8.0535
Patent22,13.894099999999998,15.5287,14.711399999999998,9.8076,12.2595,7.3557000000000015
Patent23,19.8727,10.7008,22.930100000000003,36.688,19.8727,19.8727
Patent24,11.408999999999995,17.448999999999995,16.777899999999995,13.422299999999996,8.0534,12.080099999999998
Patent25,31.446699999999996,16.706,37.3429,36.3602,13.758,31.446699999999996
Patent26,22.987899999999996,16.7184,17.763299999999997,13.5837,9.4041,9.4041
Patent27,22.730500000000003,5.981599999999999,29.908500000000004,27.5158,15.5524,27.51580000000001
Patent28,19.698799999999995,19.6988,25.326999999999995,15.946600000000002,20.63679999999999,24.388899999999996
Patent29,36.92949999999999,28.240200000000005,31.498600000000003,26.06800000000001,24.981600000000004,26.067900000000005
Patent30,21.566600000000005,14.1299,23.79770000000001,19.335700000000003,11.898900000000005,18.592
Patent31,22.929900000000004,18.853699999999996,20.8917,15.7962,16.3058,18.343900000000005
Patent32,16.2925,15.2064,8.689499999999999,8.6893,10.8617,8.6893
Patent33,26.3811,10.212,27.232099999999996,34.891099999999994,17.019999999999996,22.9771
Patent34,24.6194,11.5856,15.9302,21.723,10.1374,23.1712
Patent35,13.7578,13.757799999999998,10.8097,28.4984,8.8443,18.6713
Patent36,32.301300000000005,8.9727,17.047900000000002,20.6369,17.9451,18.8424
Patent37,21.943,6.2694,25.077699999999997,26.122599999999995,16.7184,26.122599999999995
Patent38,23.2826,16.932799999999997,17.991099999999996,13.7579,9.5247,9.5247
Patent39,24.6194,11.5856,14.482,20.2748,10.1374,23.1712
Patent40,13.624099999999997,8.8156,8.8156,10.418399999999998,12.021299999999997,10.418399999999998
