,T01(electric battery),T02(electric motor),T03(battery charger)
Patent1,29.4814,17.6887,28.0073
Patent2,29.4814,17.6887,28.0073
Patent3,29.4814,17.6887,28.0073
Patent4,15.0086,7.5043,15.0086
Patent5,17.4268,12.8408,12.8408
Patent6,0.0,0.0,0.0
Patent7,16.5096,12.382299999999999,13.207699999999999
Patent8,31.446699999999996,16.706,37.3429
Patent9,22.513100000000005,4.5027,25.514900000000008
Patent10,15.2865,13.2484,9.171899999999999
Patent11,20.079,13.386,17.848
Patent12,14.093399999999995,9.395599999999998,12.080099999999995
Patent13,14.740599999999999,11.792499999999999,8.8443
Patent14,14.356000000000003,10.049200000000003,16.868299999999998
Patent15,23.2826,16.932799999999997,17.991099999999996
Patent16,31.446699999999996,16.706,37.3429
Patent17,31.446699999999996,16.706,37.3429
Patent18,31.076600000000003,16.5094,36.90350000000001
Patent19,31.076600000000003,16.5094,36.90350000000001
Patent20,32.1018,14.675099999999999,45.8598
Patent21,15.1003,13.086900000000002,9.060300000000002
Patent22,13.894099999999998,15.528699999999999,14.711399999999998
Patent23,19.872700000000002,10.700800000000001,22.930100000000003
Patent24,11.408999999999995,17.448999999999995,16.777899999999995
Patent25,31.446699999999996,16.706,37.3429
Patent26,22.987899999999996,16.7184,17.763299999999997
Patent27,22.730500000000003,5.981599999999999,29.908500000000004
Patent28,19.698799999999995,19.6988,25.326999999999995
Patent29,36.92949999999999,28.240200000000005,31.498600000000003
Patent30,21.566600000000005,14.129900000000001,23.797700000000006
Patent31,22.929900000000004,18.853699999999996,20.8917
Patent32,16.2925,15.206399999999999,8.689499999999999
Patent33,26.3811,10.212,27.232099999999996
Patent34,24.6194,11.5856,15.9302
Patent35,13.7578,13.757799999999998,10.8097
Patent36,32.301300000000005,8.9727,17.047900000000002
Patent37,21.942999999999998,6.2694,25.077699999999997
Patent38,23.2826,16.932799999999997,17.991099999999996
Patent39,24.6194,11.5856,14.482
Patent40,13.624099999999995,8.8156,8.8156
